id  expt_name   species
SRR3710279  EICHHORN    drosophila
SRR3710280  EICHHORN    drosophila
SRR3710285  EICHHORN    drosophila
SRR3710286  EICHHORN    drosophila
SRR3710291  EICHHORN    drosophila
SRR3710292  EICHHORN    drosophila
SRR3710293  EICHHORN    drosophila
SRR3710294  EICHHORN    drosophila
SRR3710299  EICHHORN    drosophila
SRR3710288  EICHHORN    drosophila
SRR3710289  EICHHORN    drosophila  
SRR3710295  EICHHORN    drosophila  
SRR3710296  EICHHORN    drosophila  
SRR3710297  EICHHORN    drosophila  
SRR3710298  EICHHORN    drosophila
SRR3710300  EICHHORN    drosophila
SRR3710282  EICHHORN    drosophila
SRR3710283  EICHHORN    drosophila
